Link type,Source URL,Source HTTP status code,Target URL,Target HTTP status code,Anchor,Hreflang attribute,Target final redirect URL,Target final redirect HTTP status code
Sitemap URL,https://www.styly.fr/sitemap-fr.xml,200,https://www.styly.fr/blog/concevoir-mise-en-scene-interieure-ia-aws-styly,301,,,https://www.styly.fr/blog/concevoir-mise-en-scene-interieure-ia-aws-styly/,404
Hreflang,https://www.styly.fr/blog,301,https://www.styly.fr/blog,301,,x-default,https://www.styly.fr/blog/,404
Hreflang,https://www.styly.fr/blog/ia-design-accessible-espaces-inclusifs,301,https://www.styly.fr/en/blog/ai-accessible-design-inclusive-spaces,301,,x-default,https://www.styly.fr/en/blog/ai-accessible-design-inclusive-spaces/,404
Hreflang,https://www.styly.fr/blog/styly-viva-technology-avenir-design-ia,301,https://www.styly.fr/blog/styly-viva-technology-avenir-design-ia,301,,fr,https://www.styly.fr/blog/styly-viva-technology-avenir-design-ia/,404
Hreflang,https://www.styly.fr/blog/chatgpt-peut-il-concevoir-votre-maison-ia-design-interieur,301,https://www.styly.fr/blog/chatgpt-peut-il-concevoir-votre-maison-ia-design-interieur,301,,fr,https://www.styly.fr/blog/chatgpt-peut-il-concevoir-votre-maison-ia-design-interieur/,404
Hreflang,https://www.styly.fr/upload,301,https://www.styly.fr/upload,301,,fr,https://www.styly.fr/upload/,404
Hreflang,https://www.styly.fr/blog/ia-design-accessible-espaces-inclusifs,301,https://www.styly.fr/en/blog/ai-accessible-design-inclusive-spaces,301,,en,https://www.styly.fr/en/blog/ai-accessible-design-inclusive-spaces/,404
Redirect,https://www.styly.fr/blog/design-famille-moderne-ia-maisons-fonctionnelles,301,https://www.styly.fr/blog/design-famille-moderne-ia-maisons-fonctionnelles/,404,,,,
Hreflang,https://www.styly.fr/blog/assistant-ia-design-interieur-prompts-chatgpt,301,https://www.styly.fr/blog/assistant-ia-design-interieur-prompts-chatgpt,301,,fr,https://www.styly.fr/blog/assistant-ia-design-interieur-prompts-chatgpt/,404
Hreflang,https://www.styly.fr/blog/comment-ia-generative-revolutionne-design-interieur,301,https://www.styly.fr/en/blog/how-generative-ai-revolutionizing-interior-design,301,,x-default,https://www.styly.fr/en/blog/how-generative-ai-revolutionizing-interior-design/,404
Sitemap URL,https://www.styly.fr/sitemap-fr.xml,200,https://www.styly.fr/blog/tendances-design-interieur-2025,301,,,https://www.styly.fr/blog/tendances-design-interieur-2025/,404
Hreflang,https://www.styly.fr/blog/concevoir-mise-en-scene-interieure-ia-aws-styly,301,https://www.styly.fr/en/blog/designing-ai-interior-staging-aws-styly,301,,x-default,https://www.styly.fr/en/blog/designing-ai-interior-staging-aws-styly/,404
Redirect,https://www.styly.fr/privacy,301,https://www.styly.fr/privacy/,404,,,,
Redirect,https://www.styly.fr/en/blog/intersection-ai-virtual-reality-design,301,https://www.styly.fr/en/blog/intersection-ai-virtual-reality-design/,404,,,,
Hreflang,https://www.styly.fr/blog/6-prompts-viraux-design-chambre-ia-styly,301,https://www.styly.fr/en/blog/6-viral-ai-room-design-prompts-create-dream-bedroom-styly,301,,x-default,https://www.styly.fr/en/blog/6-viral-ai-room-design-prompts-create-dream-bedroom-styly/,404
Redirect,https://www.styly.fr/blog/chatgpt-peut-il-concevoir-votre-maison-ia-design-interieur,301,https://www.styly.fr/blog/chatgpt-peut-il-concevoir-votre-maison-ia-design-interieur/,404,,,,
Hreflang,https://www.styly.fr/get-started,301,https://www.styly.fr/get-started,301,,fr,https://www.styly.fr/get-started/,404
Hreflang,https://www.styly.fr/blog/assistant-ia-design-interieur-prompts-chatgpt,301,https://www.styly.fr/en/blog/ai-assistant-interior-design-chatgpt-prompts,301,,x-default,https://www.styly.fr/en/blog/ai-assistant-interior-design-chatgpt-prompts/,404
Hreflang,https://www.styly.fr/blog/tendances-design-interieur-2025,301,https://www.styly.fr/en/blog/2025-interior-design-trends,301,,x-default,https://www.styly.fr/en/blog/2025-interior-design-trends/,404
Hreflang,https://www.styly.fr/blog/intersection-ia-realite-virtuelle-design,301,https://www.styly.fr/en/blog/intersection-ai-virtual-reality-design,301,,x-default,https://www.styly.fr/en/blog/intersection-ai-virtual-reality-design/,404
Hreflang,https://www.styly.fr/blog/logiciel-gratuit-design-interieur-ia,301,https://www.styly.fr/en/blog/free-ai-interior-design-software,301,,x-default,https://www.styly.fr/en/blog/free-ai-interior-design-software/,404
Redirect,https://www.styly.fr/blog/design-durabilite-ia-espaces-eco-responsables,301,https://www.styly.fr/blog/design-durabilite-ia-espaces-eco-responsables/,404,,,,
Hreflang,https://www.styly.fr/upload,301,https://www.styly.fr/upload,301,,x-default,https://www.styly.fr/upload/,404
Hreflang,https://www.styly.fr/blog/logiciel-gratuit-design-interieur-ia,301,https://www.styly.fr/en/blog/free-ai-interior-design-software,301,,en,https://www.styly.fr/en/blog/free-ai-interior-design-software/,404
Sitemap URL,https://www.styly.fr/sitemap-fr.xml,200,https://www.styly.fr/conditions,301,,,https://www.styly.fr/conditions/,404
Sitemap URL,https://www.styly.fr/sitemap-fr.xml,200,https://www.styly.fr/blog,301,,,https://www.styly.fr/blog/,404
Hreflang,https://www.styly.fr/blog/10-conseils-experts-economiser-decoration-interieure-2025,301,https://www.styly.fr/en/blog/10-expert-tips-save-big-home-interiors-2025,301,,en,https://www.styly.fr/en/blog/10-expert-tips-save-big-home-interiors-2025/,404
Redirect,https://www.styly.fr/en/blog/2025-interior-design-trends,301,https://www.styly.fr/en/blog/2025-interior-design-trends/,404,,,,
Hreflang,https://www.styly.fr/blog/concevoir-mise-en-scene-interieure-ia-aws-styly,301,https://www.styly.fr/blog/concevoir-mise-en-scene-interieure-ia-aws-styly,301,,fr,https://www.styly.fr/blog/concevoir-mise-en-scene-interieure-ia-aws-styly/,404
Redirect,https://www.styly.fr/en/blog/how-generative-ai-revolutionizing-interior-design,301,https://www.styly.fr/en/blog/how-generative-ai-revolutionizing-interior-design/,404,,,,
Redirect,https://www.styly.fr/en/terms,301,https://www.styly.fr/en/terms/,404,,,,
Redirect,https://www.styly.fr/en/blog/10-expert-tips-save-big-home-interiors-2025,301,https://www.styly.fr/en/blog/10-expert-tips-save-big-home-interiors-2025/,404,,,,
Redirect,https://www.styly.fr/confidentialite,301,https://www.styly.fr/confidentialite/,404,,,,
Redirect,https://www.styly.fr/en/blog/can-chatgpt-design-your-home-ai-interior-design,301,https://www.styly.fr/en/blog/can-chatgpt-design-your-home-ai-interior-design/,404,,,,
Hreflang,https://www.styly.fr/blog/logiciel-gratuit-design-interieur-ia,301,https://www.styly.fr/blog/logiciel-gratuit-design-interieur-ia,301,,fr,https://www.styly.fr/blog/logiciel-gratuit-design-interieur-ia/,404
Sitemap URL,https://www.styly.fr/sitemap-fr.xml,200,https://www.styly.fr/upload,301,,,https://www.styly.fr/upload/,404
Sitemap URL,https://www.styly.fr/sitemap-fr.xml,200,https://www.styly.fr/confidentialite,301,,,https://www.styly.fr/confidentialite/,404
Hreflang,https://www.styly.fr/blog,301,https://www.styly.fr/blog,301,,fr,https://www.styly.fr/blog/,404
Sitemap URL,https://www.styly.fr/sitemap-fr.xml,200,https://www.styly.fr/blog/intersection-ia-realite-virtuelle-design,301,,,https://www.styly.fr/blog/intersection-ia-realite-virtuelle-design/,404
Hreflang,https://www.styly.fr/blog/design-durabilite-ia-espaces-eco-responsables,301,https://www.styly.fr/blog/design-durabilite-ia-espaces-eco-responsables,301,,fr,https://www.styly.fr/blog/design-durabilite-ia-espaces-eco-responsables/,404
Redirect,https://www.styly.fr/en/blog/modern-family-design-ai-functional-homes,301,https://www.styly.fr/en/blog/modern-family-design-ai-functional-homes/,404,,,,
Sitemap URL,https://www.styly.fr/sitemap-fr.xml,200,https://www.styly.fr/blog/comment-ia-generative-revolutionne-design-interieur,301,,,https://www.styly.fr/blog/comment-ia-generative-revolutionne-design-interieur/,404
Hreflang,https://www.styly.fr/blog/10-conseils-experts-economiser-decoration-interieure-2025,301,https://www.styly.fr/blog/10-conseils-experts-economiser-decoration-interieure-2025,301,,fr,https://www.styly.fr/blog/10-conseils-experts-economiser-decoration-interieure-2025/,404
Redirect,https://www.styly.fr/en/upload,301,https://www.styly.fr/en/upload/,404,,,,
Hreflang,https://www.styly.fr/blog/impact-ia-role-designer-interieur,301,https://www.styly.fr/en/blog/impact-ai-role-interior-designer,301,,x-default,https://www.styly.fr/en/blog/impact-ai-role-interior-designer/,404
Redirect,https://www.styly.fr/en/get-started,301,https://www.styly.fr/en/get-started/,404,,,,
Sitemap URL,https://www.styly.fr/sitemap-fr.xml,200,https://www.styly.fr/blog/design-famille-moderne-ia-maisons-fonctionnelles,301,,,https://www.styly.fr/blog/design-famille-moderne-ia-maisons-fonctionnelles/,404
Hreflang,https://www.styly.fr/upload,301,https://www.styly.fr/en/upload,301,,en,https://www.styly.fr/en/upload/,404
Redirect,https://www.styly.fr/blog,301,https://www.styly.fr/blog/,404,,,,
Hreflang,https://www.styly.fr/blog/comment-ia-generative-revolutionne-design-interieur,301,https://www.styly.fr/blog/comment-ia-generative-revolutionne-design-interieur,301,,fr,https://www.styly.fr/blog/comment-ia-generative-revolutionne-design-interieur/,404
Hreflang,https://www.styly.fr/pricing,301,https://www.styly.fr/en/pricing,301,,en,https://www.styly.fr/en/pricing/,404
Redirect,https://www.styly.fr/en/blog/ai-assistant-interior-design-chatgpt-prompts,301,https://www.styly.fr/en/blog/ai-assistant-interior-design-chatgpt-prompts/,404,,,,
Hreflang,https://www.styly.fr/blog/impact-ia-role-designer-interieur,301,https://www.styly.fr/blog/impact-ia-role-designer-interieur,301,,fr,https://www.styly.fr/blog/impact-ia-role-designer-interieur/,404
Redirect,https://www.styly.fr/blog/assistant-ia-design-interieur-prompts-chatgpt,301,https://www.styly.fr/blog/assistant-ia-design-interieur-prompts-chatgpt/,404,,,,
Hreflang,https://www.styly.fr/blog/concevoir-mise-en-scene-interieure-ia-aws-styly,301,https://www.styly.fr/en/blog/designing-ai-interior-staging-aws-styly,301,,en,https://www.styly.fr/en/blog/designing-ai-interior-staging-aws-styly/,404
Hreflang,https://www.styly.fr/blog/6-prompts-viraux-design-chambre-ia-styly,301,https://www.styly.fr/blog/6-prompts-viraux-design-chambre-ia-styly,301,,fr,https://www.styly.fr/blog/6-prompts-viraux-design-chambre-ia-styly/,404
Hreflang,https://www.styly.fr/blog/ia-design-accessible-espaces-inclusifs,301,https://www.styly.fr/blog/ia-design-accessible-espaces-inclusifs,301,,fr,https://www.styly.fr/blog/ia-design-accessible-espaces-inclusifs/,404
Redirect,https://www.styly.fr/blog/intersection-ia-realite-virtuelle-design,301,https://www.styly.fr/blog/intersection-ia-realite-virtuelle-design/,404,,,,
Hreflang,https://www.styly.fr/pricing,301,https://www.styly.fr/pricing,301,,x-default,https://www.styly.fr/pricing/,404
Hreflang,https://www.styly.fr/conditions,301,https://www.styly.fr/terms,301,,x-default,https://www.styly.fr/terms/,404
Sitemap URL,https://www.styly.fr/sitemap-fr.xml,200,https://www.styly.fr/blog/styly-viva-technology-avenir-design-ia,301,,,https://www.styly.fr/blog/styly-viva-technology-avenir-design-ia/,404
Hreflang,https://www.styly.fr/blog/role-donnees-design-alimente-ia,301,https://www.styly.fr/en/blog/role-data-ai-powered-design,301,,x-default,https://www.styly.fr/en/blog/role-data-ai-powered-design/,404
Hreflang,https://www.styly.fr/conditions,301,https://www.styly.fr/conditions,301,,fr,https://www.styly.fr/conditions/,404
Redirect,https://www.styly.fr/en/blog/ai-accessible-design-inclusive-spaces,301,https://www.styly.fr/en/blog/ai-accessible-design-inclusive-spaces/,404,,,,
Redirect,https://www.styly.fr/conditions,301,https://www.styly.fr/conditions/,404,,,,
Redirect,https://www.styly.fr/blog/role-donnees-design-alimente-ia,301,https://www.styly.fr/blog/role-donnees-design-alimente-ia/,404,,,,
Redirect,https://www.styly.fr/en/blog/free-ai-interior-design-software,301,https://www.styly.fr/en/blog/free-ai-interior-design-software/,404,,,,
Sitemap URL,https://www.styly.fr/sitemap-fr.xml,200,https://www.styly.fr/blog/assistant-ia-design-interieur-prompts-chatgpt,301,,,https://www.styly.fr/blog/assistant-ia-design-interieur-prompts-chatgpt/,404
Hreflang,https://www.styly.fr/confidentialite,301,https://www.styly.fr/privacy,301,,x-default,https://www.styly.fr/privacy/,404
Sitemap URL,https://www.styly.fr/sitemap-fr.xml,200,https://www.styly.fr/blog/impact-ia-role-designer-interieur,301,,,https://www.styly.fr/blog/impact-ia-role-designer-interieur/,404
Hreflang,https://www.styly.fr/styly-pro,301,https://www.styly.fr/en/styly-pro,301,,en,https://www.styly.fr/en/styly-pro/,404
Hreflang,https://www.styly.fr/blog/chatgpt-peut-il-concevoir-votre-maison-ia-design-interieur,301,https://www.styly.fr/en/blog/can-chatgpt-design-your-home-ai-interior-design,301,,en,https://www.styly.fr/en/blog/can-chatgpt-design-your-home-ai-interior-design/,404
Hreflang,https://www.styly.fr/get-started,301,https://www.styly.fr/get-started,301,,x-default,https://www.styly.fr/get-started/,404
Redirect,https://www.styly.fr/blog/comment-ia-generative-revolutionne-design-interieur,301,https://www.styly.fr/blog/comment-ia-generative-revolutionne-design-interieur/,404,,,,
Hreflang,https://www.styly.fr/blog/chatgpt-peut-il-concevoir-votre-maison-ia-design-interieur,301,https://www.styly.fr/en/blog/can-chatgpt-design-your-home-ai-interior-design,301,,x-default,https://www.styly.fr/en/blog/can-chatgpt-design-your-home-ai-interior-design/,404
Redirect,https://www.styly.fr/en/pricing,301,https://www.styly.fr/en/pricing/,404,,,,
Hreflang,https://www.styly.fr/styly-pro,301,https://www.styly.fr/styly-pro,301,,fr,https://www.styly.fr/styly-pro/,404
Redirect,https://www.styly.fr/terms,301,https://www.styly.fr/terms/,404,,,,
Hreflang,https://www.styly.fr/blog/design-famille-moderne-ia-maisons-fonctionnelles,301,https://www.styly.fr/blog/design-famille-moderne-ia-maisons-fonctionnelles,301,,fr,https://www.styly.fr/blog/design-famille-moderne-ia-maisons-fonctionnelles/,404
Sitemap URL,https://www.styly.fr/sitemap-fr.xml,200,https://www.styly.fr/styly-pro,301,,,https://www.styly.fr/styly-pro/,404
Hreflang,https://www.styly.fr/blog/design-durabilite-ia-espaces-eco-responsables,301,https://www.styly.fr/en/blog/sustainable-design-ai-eco-friendly-spaces,301,,en,https://www.styly.fr/en/blog/sustainable-design-ai-eco-friendly-spaces/,404
Redirect,https://www.styly.fr/en/blog,301,https://www.styly.fr/en/blog/,404,,,,
Hreflang,https://www.styly.fr/conditions,301,https://www.styly.fr/en/terms,301,,en,https://www.styly.fr/en/terms/,404
Hreflang,https://www.styly.fr/blog/role-donnees-design-alimente-ia,301,https://www.styly.fr/blog/role-donnees-design-alimente-ia,301,,fr,https://www.styly.fr/blog/role-donnees-design-alimente-ia/,404
Redirect,https://www.styly.fr/pricing,301,https://www.styly.fr/pricing/,404,,,,
Sitemap URL,https://www.styly.fr/sitemap-fr.xml,200,https://www.styly.fr/blog/chatgpt-peut-il-concevoir-votre-maison-ia-design-interieur,301,,,https://www.styly.fr/blog/chatgpt-peut-il-concevoir-votre-maison-ia-design-interieur/,404
Redirect,https://www.styly.fr/en/blog/sustainable-design-ai-eco-friendly-spaces,301,https://www.styly.fr/en/blog/sustainable-design-ai-eco-friendly-spaces/,404,,,,
Hreflang,https://www.styly.fr/blog/design-famille-moderne-ia-maisons-fonctionnelles,301,https://www.styly.fr/en/blog/modern-family-design-ai-functional-homes,301,,en,https://www.styly.fr/en/blog/modern-family-design-ai-functional-homes/,404
Hreflang,https://www.styly.fr/services-api,301,https://www.styly.fr/en/services-api,301,,en,https://www.styly.fr/en/services-api/,404
Redirect,https://www.styly.fr/styly-pro,301,https://www.styly.fr/styly-pro/,404,,,,
Sitemap URL,https://www.styly.fr/sitemap-fr.xml,200,https://www.styly.fr/blog/role-donnees-design-alimente-ia,301,,,https://www.styly.fr/blog/role-donnees-design-alimente-ia/,404
Sitemap URL,https://www.styly.fr/sitemap-fr.xml,200,https://www.styly.fr/blog/logiciel-gratuit-design-interieur-ia,301,,,https://www.styly.fr/blog/logiciel-gratuit-design-interieur-ia/,404
Sitemap URL,https://www.styly.fr/sitemap-fr.xml,200,https://www.styly.fr/blog/ia-design-accessible-espaces-inclusifs,301,,,https://www.styly.fr/blog/ia-design-accessible-espaces-inclusifs/,404
Hreflang,https://www.styly.fr/blog/10-conseils-experts-economiser-decoration-interieure-2025,301,https://www.styly.fr/en/blog/10-expert-tips-save-big-home-interiors-2025,301,,x-default,https://www.styly.fr/en/blog/10-expert-tips-save-big-home-interiors-2025/,404
Hreflang,https://www.styly.fr/services-api,301,https://www.styly.fr/services-api,301,,fr,https://www.styly.fr/services-api/,404
Hreflang,https://www.styly.fr/blog/styly-viva-technology-avenir-design-ia,301,https://www.styly.fr/en/blog/styly-viva-technology-future-ai-design,301,,en,https://www.styly.fr/en/blog/styly-viva-technology-future-ai-design/,404
Hreflang,https://www.styly.fr/pricing,301,https://www.styly.fr/pricing,301,,fr,https://www.styly.fr/pricing/,404
Sitemap URL,https://www.styly.fr/sitemap-fr.xml,200,https://www.styly.fr/blog/design-durabilite-ia-espaces-eco-responsables,301,,,https://www.styly.fr/blog/design-durabilite-ia-espaces-eco-responsables/,404
Hreflang,https://www.styly.fr/blog/design-durabilite-ia-espaces-eco-responsables,301,https://www.styly.fr/en/blog/sustainable-design-ai-eco-friendly-spaces,301,,x-default,https://www.styly.fr/en/blog/sustainable-design-ai-eco-friendly-spaces/,404
Hreflang,https://www.styly.fr/blog/comment-ia-generative-revolutionne-design-interieur,301,https://www.styly.fr/en/blog/how-generative-ai-revolutionizing-interior-design,301,,en,https://www.styly.fr/en/blog/how-generative-ai-revolutionizing-interior-design/,404
Hreflang,https://www.styly.fr/blog/intersection-ia-realite-virtuelle-design,301,https://www.styly.fr/en/blog/intersection-ai-virtual-reality-design,301,,en,https://www.styly.fr/en/blog/intersection-ai-virtual-reality-design/,404
Redirect,https://www.styly.fr/blog/concevoir-mise-en-scene-interieure-ia-aws-styly,301,https://www.styly.fr/blog/concevoir-mise-en-scene-interieure-ia-aws-styly/,404,,,,
Hreflang,https://www.styly.fr/confidentialite,301,https://www.styly.fr/en/privacy,301,,en,https://www.styly.fr/en/privacy/,404
Redirect,https://www.styly.fr/services-api,301,https://www.styly.fr/services-api/,404,,,,
Hreflang,https://www.styly.fr/blog/role-donnees-design-alimente-ia,301,https://www.styly.fr/en/blog/role-data-ai-powered-design,301,,en,https://www.styly.fr/en/blog/role-data-ai-powered-design/,404
Sitemap URL,https://www.styly.fr/sitemap-fr.xml,200,https://www.styly.fr/pricing,301,,,https://www.styly.fr/pricing/,404
Redirect,https://www.styly.fr/en/blog/6-viral-ai-room-design-prompts-create-dream-bedroom-styly,301,https://www.styly.fr/en/blog/6-viral-ai-room-design-prompts-create-dream-bedroom-styly/,404,,,,
Redirect,https://www.styly.fr/blog/logiciel-gratuit-design-interieur-ia,301,https://www.styly.fr/blog/logiciel-gratuit-design-interieur-ia/,404,,,,
Redirect,https://www.styly.fr/en/privacy,301,https://www.styly.fr/en/privacy/,404,,,,
Redirect,https://www.styly.fr/en/blog/styly-viva-technology-future-ai-design,301,https://www.styly.fr/en/blog/styly-viva-technology-future-ai-design/,404,,,,
Hreflang,https://www.styly.fr/get-started,301,https://www.styly.fr/en/get-started,301,,en,https://www.styly.fr/en/get-started/,404
Redirect,https://www.styly.fr/upload,301,https://www.styly.fr/upload/,404,,,,
Sitemap URL,https://www.styly.fr/sitemap-fr.xml,200,https://www.styly.fr/get-started,301,,,https://www.styly.fr/get-started/,404
Redirect,https://www.styly.fr/en/blog/role-data-ai-powered-design,301,https://www.styly.fr/en/blog/role-data-ai-powered-design/,404,,,,
Hreflang,https://www.styly.fr/blog/tendances-design-interieur-2025,301,https://www.styly.fr/blog/tendances-design-interieur-2025,301,,fr,https://www.styly.fr/blog/tendances-design-interieur-2025/,404
Sitemap URL,https://www.styly.fr/sitemap-fr.xml,200,https://www.styly.fr/services-api,301,,,https://www.styly.fr/services-api/,404
Hreflang,https://www.styly.fr/blog/assistant-ia-design-interieur-prompts-chatgpt,301,https://www.styly.fr/en/blog/ai-assistant-interior-design-chatgpt-prompts,301,,en,https://www.styly.fr/en/blog/ai-assistant-interior-design-chatgpt-prompts/,404
Redirect,https://www.styly.fr/blog/6-prompts-viraux-design-chambre-ia-styly,301,https://www.styly.fr/blog/6-prompts-viraux-design-chambre-ia-styly/,404,,,,
Redirect,https://www.styly.fr/blog/tendances-design-interieur-2025,301,https://www.styly.fr/blog/tendances-design-interieur-2025/,404,,,,
Hreflang,https://www.styly.fr/confidentialite,301,https://www.styly.fr/confidentialite,301,,fr,https://www.styly.fr/confidentialite/,404
Hreflang,https://www.styly.fr/blog/6-prompts-viraux-design-chambre-ia-styly,301,https://www.styly.fr/en/blog/6-viral-ai-room-design-prompts-create-dream-bedroom-styly,301,,en,https://www.styly.fr/en/blog/6-viral-ai-room-design-prompts-create-dream-bedroom-styly/,404
Redirect,https://www.styly.fr/get-started,301,https://www.styly.fr/get-started/,404,,,,
Redirect,https://www.styly.fr/en/services-api,301,https://www.styly.fr/en/services-api/,404,,,,
Hreflang,https://www.styly.fr/services-api,301,https://www.styly.fr/services-api,301,,x-default,https://www.styly.fr/services-api/,404
Redirect,https://www.styly.fr/blog/impact-ia-role-designer-interieur,301,https://www.styly.fr/blog/impact-ia-role-designer-interieur/,404,,,,
Hreflang,https://www.styly.fr/blog/tendances-design-interieur-2025,301,https://www.styly.fr/en/blog/2025-interior-design-trends,301,,en,https://www.styly.fr/en/blog/2025-interior-design-trends/,404
Sitemap URL,https://www.styly.fr/sitemap-fr.xml,200,https://www.styly.fr/blog/6-prompts-viraux-design-chambre-ia-styly,301,,,https://www.styly.fr/blog/6-prompts-viraux-design-chambre-ia-styly/,404
Redirect,https://www.styly.fr/blog/styly-viva-technology-avenir-design-ia,301,https://www.styly.fr/blog/styly-viva-technology-avenir-design-ia/,404,,,,
Redirect,https://www.styly.fr/blog/ia-design-accessible-espaces-inclusifs,301,https://www.styly.fr/blog/ia-design-accessible-espaces-inclusifs/,404,,,,
Redirect,https://www.styly.fr/en/blog/designing-ai-interior-staging-aws-styly,301,https://www.styly.fr/en/blog/designing-ai-interior-staging-aws-styly/,404,,,,
Redirect,https://www.styly.fr/en/blog/impact-ai-role-interior-designer,301,https://www.styly.fr/en/blog/impact-ai-role-interior-designer/,404,,,,
Sitemap URL,https://www.styly.fr/sitemap-fr.xml,200,https://www.styly.fr/blog/10-conseils-experts-economiser-decoration-interieure-2025,301,,,https://www.styly.fr/blog/10-conseils-experts-economiser-decoration-interieure-2025/,404
Hreflang,https://www.styly.fr/blog/styly-viva-technology-avenir-design-ia,301,https://www.styly.fr/en/blog/styly-viva-technology-future-ai-design,301,,x-default,https://www.styly.fr/en/blog/styly-viva-technology-future-ai-design/,404
Hreflang,https://www.styly.fr/blog,301,https://www.styly.fr/en/blog,301,,en,https://www.styly.fr/en/blog/,404
Redirect,https://www.styly.fr/en/styly-pro,301,https://www.styly.fr/en/styly-pro/,404,,,,
Hreflang,https://www.styly.fr/blog/intersection-ia-realite-virtuelle-design,301,https://www.styly.fr/blog/intersection-ia-realite-virtuelle-design,301,,fr,https://www.styly.fr/blog/intersection-ia-realite-virtuelle-design/,404
Redirect,https://www.styly.fr/blog/10-conseils-experts-economiser-decoration-interieure-2025,301,https://www.styly.fr/blog/10-conseils-experts-economiser-decoration-interieure-2025/,404,,,,
Hreflang,https://www.styly.fr/blog/design-famille-moderne-ia-maisons-fonctionnelles,301,https://www.styly.fr/en/blog/modern-family-design-ai-functional-homes,301,,x-default,https://www.styly.fr/en/blog/modern-family-design-ai-functional-homes/,404
Hreflang,https://www.styly.fr/blog/impact-ia-role-designer-interieur,301,https://www.styly.fr/en/blog/impact-ai-role-interior-designer,301,,en,https://www.styly.fr/en/blog/impact-ai-role-interior-designer/,404
Hreflang,https://www.styly.fr/styly-pro,301,https://www.styly.fr/styly-pro,301,,x-default,https://www.styly.fr/styly-pro/,404